,codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_tipo,aeronave_operador_categoria,aeronave_tipo_veiculo
1713,46699,INCIDENTE,RJ,****,2012-10-29,19:10:00,POUSO EM LOCAL NÃO PREVISTO,TÁXI AÉREO,HELICÓPTERO
1714,46822,INCIDENTE,MT,****,2012-10-29,11:00:00,PANE SECA,***,AVIÃO
1715,46496,ACIDENTE,SP,****,2012-10-31,16:30:00,COM ROTOR,***,HELICÓPTERO
1716,46562,ACIDENTE,MT,****,2012-10-31,10:05:00,PERDA DE CONTROLE EM VOO,AGRÍCOLA,AVIÃO
1717,46582,ACIDENTE,MT,****,2012-01-11,19:49:00,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,***,AVIÃO
1718,46597,INCIDENTE,PA,SBMA,2012-01-11,16:20:00,POUSO SEM TREM,PARTICULAR,AVIÃO
1719,46604,INCIDENTE,DF,SBBR,2012-01-11,18:00:00,ESTOURO DE PNEU,TÁXI AÉREO,AVIÃO
1720,46563,ACIDENTE,GO,****,2012-02-11,12:00:00,FALHA DO MOTOR EM VOO,PARTICULAR,AVIÃO
1721,46572,INCIDENTE GRAVE,PR,SBBI,2012-02-11,12:26:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1722,46589,ACIDENTE,PE,SNEM,2012-02-11,14:30:00,PERDA DE CONTROLE NO SOLO,EXPERIMENTAL,ULTRALEVE
1723,46564,ACIDENTE,GO,SBNV,2012-03-11,16:50:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1724,46588,ACIDENTE,SC,****,2012-03-11,14:00:00,OUTROS,EXPERIMENTAL,AVIÃO
1725,46565,ACIDENTE,BA,****,2012-04-11,20:00:00,POUSO EM LOCAL NÃO PREVISTO,***,AVIÃO
1726,46683,INCIDENTE,BA,SBQV,2012-04-11,14:06:00,ESTOURO DE PNEU,EXPERIMENTAL,ULTRALEVE
1727,46566,ACIDENTE,GO,SWUZ,2012-05-11,11:55:00,POUSO SEM TREM,***,AVIÃO
1728,46573,INCIDENTE GRAVE,RS,SBNM,2012-05-11,20:40:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1729,46673,INCIDENTE,AL,SBMO,2012-05-11,14:48:00,COLISÃO COM AVE,REGULAR,AVIÃO
1730,46583,ACIDENTE,PR,****,2012-06-11,21:30:00,PANE SECA,***,AVIÃO
1731,46567,ACIDENTE,MG,****,2012-07-11,16:15:00,CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO,***,AVIÃO
1732,46592,ACIDENTE,MT,SNGV,2012-07-11,18:00:00,EXCURSÃO DE PISTA,***,AVIÃO
1733,46592,ACIDENTE,MT,SNGV,2012-07-11,18:00:00,PERDA DE CONTROLE NO SOLO,***,AVIÃO
1734,46568,ACIDENTE,RS,****,2012-08-11,11:00:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1735,46569,ACIDENTE,PR,****,2012-08-11,19:00:00,OUTROS,***,AVIÃO
1736,46584,ACIDENTE,MT,SWYH,2012-08-11,12:10:00,FALHA DO MOTOR EM VOO,***,AVIÃO
1737,46694,INCIDENTE,MG,****,2012-09-11,13:15:00,CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO,EXPERIMENTAL,ULTRALEVE
1738,46713,INCIDENTE,GO,SBGO,2012-09-11,11:48:00,ESTOURO DE PNEU,TÁXI AÉREO,AVIÃO
1739,46570,ACIDENTE,SP,SBSP,2012-11-11,19:21:00,POUSO LONGO,***,AVIÃO
